docid,content
1163,"2018 INFINITI QX60 Base, 32998, Black Obsidian, Graphite, All-wheel Drive, 0–26, Gasoline, Variable, Premium Unleaded V-6 3.5 L/213, 48789, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1164,"2019 Chevrolet Silverado 1500 LTZ, 46787, Summit White, Gideon, Four-wheel Drive, 16–22, Gasoline, Automatic, 6.2L V8 16V GDI OHV, 74517, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1165,"2019 Acura RDX Base, 37999, Fathom Blue Pearl, Ebony, All-wheel Drive, 0–27, Gasoline, Automatic, Turbo Premium Unleaded I-4 2.0 L/122, 19993, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1166,"2018 BMW X3 M40i, 48995, Carbon Black Metallic, Black, All-wheel Drive, 20–27, Gasoline, 8-Speed Automatic, 3.0L I6 24V GDI DOHC Turbo, 22753, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1167,"2016 Honda Odyssey EX-L, 20798, Crystal Black Pearl, Gray, Front-wheel Drive, 19–28, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI SOHC, 90328, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1168,"2016 Mercedes-Benz E-Class E 350 4MATIC, 22995, Black, Black, All-wheel Drive, 20–28, Gasoline, 7-Speed Automatic, 3.5L V6 24V GDI DOHC, 75691, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1169,"2012 Ford Escape Limited, 11497, Steel Blue Metallic, Charcoal Black, Four-wheel Drive, 0–0, –, Automatic, –, 64237, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1170,"2019 Jeep Cherokee Limited, 29696, Granite Crystal Clearcoat Metallic, Black, Four-wheel Drive, 19–27, Gasoline, 9-Speed Automatic, 3.2L V6 24V MPFI DOHC, 50458, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1171,"2018 Land Rover Range Rover Supercharged, 99996, Santorini Black, Espresso / Almond / Ivory, Four-wheel Drive, 16–21, Gasoline, Automatic, V8, 21912, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1172,"2019 Nissan Rogue SV, 18500, Blue, Black, AWD, 25–32, Gasoline, Automatic CVT, 2.5L I4 16V MPFI DOHC, 35768, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1173,"2019 Honda Civic Sport, 24800, Crystal Black Pearl, Black, Front-wheel Drive, 30–36, Gasoline, Automatic CVT, 1.5L I4 16V GDI DOHC Turbo, 36859, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1174,"2018 Acura MDX 3.5L w/Technology Package, 34995, Gray, Ebony, All-wheel Drive, 18–26, Gasoline, 9-Speed Automatic, 3.5L V6 24V GDI SOHC, 21650, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1175,"2019 Acura RDX Base, 33000, Modern Steel Metallic, Parchment, All-wheel Drive, 21–27, Gasoline, 10-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 21885, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1176,"2020 Chevrolet Suburban LT, 58900, Black, Black, Four-wheel Drive, 14–21, Gasoline, 6-Speed Automatic, 5.3L V8 16V GDI OHV, 64951, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1177,"2016 Porsche Cayenne GTS, 43450, Blue, Black, All-wheel Drive, 16–23, Gasoline, 8-Speed Automatic, 3.6L V6 24V GDI DOHC Twin Turbo, 60016, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1178,"2020 BMW X3 sDrive30i, 48716, Dark Graphite Metallic, Black, Rear-wheel Drive, 25–29, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 20299, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1179,"2019 Volkswagen Golf R 2.0T w/DCC & Navigation, 41642, Tornado Red, Titan Black, All-wheel Drive, 21–29, Gasoline, 6-Speed Manual, 2.0L I4 16V GDI DOHC Turbo, 20665, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1180,"2018 Mazda CX-5 Touring, 25960, Snowflake White Pearl Mica, Silk Beige, All-wheel Drive, 24–30, Gasoline, 6-Speed Automatic, 2.5L I4 16V, 18220, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1181,"2019 BMW 430 Gran Coupe i xDrive, 41943, Black Sapphire Metallic, Black, All-wheel Drive, 23–33, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 12491, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1182,"2018 Jeep Compass Limited, 29992, Pearl White Tri-Coat, Black, Four-wheel Drive, 22–30, Gasoline, 9-Speed Automatic, 2.4L I4 16V MPFI SOHC, 28770, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1183,"2021 Lexus LC 500 Base, 111991, Ultra White, Red, Rear-wheel Drive, 15–25, Gasoline, 10-Speed Automatic, 5.0L V8 32V PDI DOHC, 3834, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1184,"2018 Ford F-150 King Ranch, 54943, Shadow Black, –, Four-wheel Drive, 16–22, Gasoline, 10-Speed Automatic, 3.5L V6 24V PDI DOHC Twin Turbo, 35630, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1185,"2021 Toyota 4Runner Limited, 52968, Black, Black / Graphite, Four-wheel Drive, 16–19, Gasoline, 5-Speed Automatic, 4.0L V6 24V MPFI DOHC, 14606, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1186,"2015 Lexus RX 350 Base, 31039, Ultra White, Parchment, Front-wheel Drive, 18–25, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 40782, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1187,"2018 Lexus ES 350 Base, 34522, Eminent White Pearl, Parchment, Front-wheel Drive, 21–30, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 36834, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1188,"2018 GMC Sierra 1500 SLT, 42999, Dark Slate Metallic, Jet Black, Four-wheel Drive, 16–22, Gasoline, 8-Speed Automatic, 5.3L V8 16V GDI OHV, 46368, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1189,"2012 Chevrolet Tahoe LT, 22287, Gold Mist Metallic, Light Cashmere, Rear-wheel Drive, 15–21, E85 Flex Fuel, 6-Speed Automatic, 5.3L V8 16V MPFI OHV Flexible Fuel, 123515, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1190,"2020 Hyundai Palisade Limited, 54995, Hyper White, Black, All-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 3.8L V6 24V GDI DOHC, 19672, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1191,"2018 Toyota RAV4 XLE, 24126, Black, Black, All-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.5L I4 16V MPFI DOHC, 79549, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1192,"2018 Ford Edge SEL, 32455, Shadow Black, Ebony, All-wheel Drive, 20–27, Gasoline, 6-Speed Automatic, 3.5L V6 24V MPFI DOHC, 12844, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1193,"2021 Dodge Charger Scat Pack, 52990, Pitch Black Clearcoat, Black, Rear-wheel Drive, 15–24, Gasoline, 8-Speed Automatic, 6.4L V8 16V MPFI OHV, 10468, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1194,"2017 Nissan Armada Platinum, 38998, Forged Copper, Tan, RWD, 14–19, Gasoline, 7-Speed Automatic, 5.6L V8 32V GDI DOHC, 45536, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1195,"2020 RAM 2500 Longhorn, 73880, Billet Silver Metallic Clearcoat, Cattle Tan / Black, Four-wheel Drive, Transmission, Diesel, Automatic, 6.7L I6 24V DDI OHV Turbo Diesel, 44721, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1196,"2007 Mercedes-Benz S-Class S 550, 9995, –, –, Rear-wheel Drive, 16–24, Gasoline, 7-Speed Automatic, 5.5L V8 32V MPFI DOHC, 150921, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1197,"2018 INFINITI QX60 Base, 33000, Liquid Platinum, Graphite, All-wheel Drive, 19–26, Gasoline, Automatic CVT, 3.5L V6 24V MPFI DOHC, 37164, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1198,"2015 Subaru Forester 2.5i Premium, 18581, Jasmine Green Metallic, Gray, All-wheel Drive, 24–32, Gasoline, Automatic CVT, 2.5L H4 16V MPFI DOHC, 63968, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1199,"2020 Toyota Tacoma SR5, 43790, Cement, Cement, Four-wheel Drive, 18–22, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 11963, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1200,"2016 Toyota Corolla LE, 15495, Red, Tan, Front-wheel Drive, 29–38, Gasoline, Automatic CVT, 1.8L I4 16V MPFI DOHC, 78526, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1201,"2020 BMW X3 sDrive30i, 49391, Black Sapphire Metallic, –, Rear-wheel Drive, 25–29, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 1319, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1202,"2018 Jeep Wrangler JK Unlimited Rubicon, 47992, Firecracker Red Clearcoat, Black, Four-wheel Drive, 16–21, Gasoline, 5-Speed Automatic, 3.6L V6 24V MPFI DOHC, 8676, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1203,"2010 Lexus LX 570 , 33998, Gray, Gray, 4WD, 12–18, Gasoline, 6-Speed Automatic, 5.7L V8 32V MPFI DOHC, 100556, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1204,"2019 Honda Civic LX, 19578, Lunar Silver Metallic, Black, Front-wheel Drive, 30–38, Gasoline, Automatic CVT, 2.0L I4 16V MPFI DOHC, 37030, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1205,"2019 Kia Stinger Base, 33599, Metal, Black, All-wheel Drive, 21–29, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 24404, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1206,"2020 Ford Ranger XLT, 35894, Magnetic Metallic, Ebony, Four-wheel Drive, 20–24, Gasoline, 10-Speed Automatic, 2.3L I4 16V GDI DOHC Turbo, 26478, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1207,"2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC, 71900, Black, Saddle Brown / Black, AWD, 17–22, Gasoline, 9-Speed Automatic, 3.0L V6 24V GDI DOHC Twin Turbo, 16108, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1208,"2020 RAM 1500 Big Horn, 41999, Blue, –, Four-wheel Drive, 19–24, Gasoline, 8-Speed Automatic, 5.7L V8 16V MPFI OHV, 14613, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1209,"2016 Mazda MX-5 Miata Grand Touring, 23500, Soul Red, Tan, Rear-wheel Drive, 27–34, Gasoline, 6-Speed Manual, 2.0L I4 16V, 45913, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1210,"2017 Chevrolet Corvette Stingray, 57000, Arctic White, Jet Black, Rear-wheel Drive, 16–25, Gasoline, 8-Speed Automatic, 6.2L V8 16V GDI OHV, 13308, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1211,"2018 Toyota Tacoma SR5, 29990, Gray, Gray, Rear-wheel Drive, 19–24, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 16199, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1212,"2018 Mercedes-Benz GLE 350 Base 4MATIC, 54995, Polar White, Ginger, All-wheel Drive, 18–22, Gasoline, 7-Speed Automatic, 3.5L V6 24V GDI DOHC, 22534, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1213,"2011 Honda Pilot EX-L w/ Navigation, 16999, Polished Metal Metallic, Beige, Front-wheel Drive, 17–23, Gasoline, 5-Speed Automatic, 3.5L V6 24V MPFI SOHC, 86972, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1214,"2018 Audi A4 2.0T Tech ultra Premium, 31778, Moonlight Blue Metallic, Nougat Brown / Black, Front-wheel Drive, 27–37, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 31660, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1215,"2021 Hyundai Palisade SEL, 43990, Rainforest, Black, Front-wheel Drive, 19–26, Gasoline, 8-Speed Automatic, 3.8L V6 24V GDI DOHC, 17685, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1216,"2017 Toyota Corolla L, 17950, White, Gray, FWD, Transmission, Gasoline, Automatic CVT, 1.8L I4 16V MPFI DOHC, 33954, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1217,"2015 BMW 328 Gran Turismo i xDrive, 17995, Black Sapphire Metallic, Black, All-wheel Drive, 22–33, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 81428, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1218,"2020 Toyota Tacoma TRD Sport, 46982, Cement, Black, Four-wheel Drive, 18–22, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 14900, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1219,"2020 Ford Explorer XLT, 34995, Oxford White, Ebony, Four-wheel Drive, 20–27, Gasoline, 10-Speed Automatic, 2.3L I4 16V GDI DOHC Turbo, 15290, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1220,"2007 Audi A6 3.2 quattro, 13995, Black, Tan, AWD, 19–27, Gasoline, 6-Speed Automatic, 3.1L V6 24V GDI DOHC, 43119, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1221,"2021 Toyota Camry Hybrid XSE, 37618, Black, Black, Front-wheel Drive, 44–47, Hybrid, Automatic CVT, 2.5L I4 16V PDI DOHC Hybrid, 34096, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1222,"2018 Audi S6 Prestige, 53499, Silver, Black, All-wheel Drive, 0–24, Gasoline, Automatic, Twin Turbo Premium Unleaded V-8 4.0 L/244, 46613, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1223,"2008 Audi S6 5.2 quattro, 19888, Brilliant Black, Black, All-wheel Drive, 14–19, Gasoline, 6-Speed Automatic, 5.2L V10 40V GDI DOHC, 58602, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1224,"2015 Lexus GS 350 Base, 31631, Nebula Gray Pearl, Black, All-wheel Drive, 19–26, Gasoline, 6-Speed Automatic, 3.5L V6 24V PDI DOHC, 39939, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1225,"2010 Toyota RAV4 Sport, 12988, –, –, Four-wheel Drive, 21–27, Gasoline, 4-Speed Automatic, 2.5L I4 16V MPFI DOHC, 82341, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1226,"2020 Mercedes-Benz E-Class E 450 4MATIC, 61995, Polar White, Black, All-wheel Drive, 19–26, Gasoline, 9-Speed Automatic, 3.0L V6 24V GDI DOHC Twin Turbo, 8579, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1227,"2015 Porsche Panamera 4, 47900, Black, Luxor Beige, All-wheel Drive, 18–27, Gasoline, 7-Speed Automatic with Auto-Shift, 3.6L V6 24V GDI DOHC, 47866, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1228,"2015 Tesla Model S 70D, 46999, White, Black, All-wheel Drive, Transmission, Electric, 1-Speed Automatic, Electric, 46692, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1229,"2017 Ford F-150 Lariat, 34995, Race Red, Black, Four-wheel Drive, 18–23, Gasoline, Automatic, 5.0L V8 32V MPFI DOHC, 96999, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1230,"2016 Land Rover Discovery Sport HSE, 25987, Santorini Black, Almond, Four-wheel Drive, 20–26, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 52399, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1231,"2018 Audi A5 2.0T Premium Plus, 37491, Moonlight Blue Metallic, Atlas Beige / Gray, All-wheel Drive, 24–34, Gasoline, 7-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 15759, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1232,"2014 Mercedes-Benz E-Class E 350 4MATIC, 21495, Gray, Ash / Grey, All-wheel Drive, 21–29, Gasoline, 7-Speed Automatic, 3.5L V6 24V GDI DOHC, 87657, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1233,"2018 Jeep Grand Cherokee Limited, 28884, Granite Crystal Clearcoat Metallic, Black, Four-wheel Drive, 18–25, Gasoline, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC, 64815, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1234,"2013 Ford Escape SEL, 13985, Sterling Gray Metallic, Charcoal Black, Four-wheel Drive, 22–30, Gasoline, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 88879, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1235,"2008 Acura TL 3.2, 7495, Gray, White Diamond Pearl Taupe, Front-wheel Drive, 18–26, Gasoline, 5-Speed Automatic, 3.2L V6 24V MPFI SOHC, 89914, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1236,"2021 Toyota Camry TRD V6, 39499, Midnight Black Metallic, Black / Red, Front-wheel Drive, 22, Gasoline, 8-Speed Automatic, 3.5L V6 24V PDI DOHC, 11921, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1237,"2019 Audi Q8 3.0T Premium, 71995, Daytona Gray Pearl Effect, Black, All-wheel Drive, 17–22, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Turbo, 23275, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1238,"2015 Honda Accord LX, 19300, Modern Steel Metallic, Black, Front-wheel Drive, 27–36, Gasoline, Automatic CVT, 2.4L I4 16V GDI DOHC, 49984, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1239,"2015 Audi A8 L 3.0T, 32555, Havanna Black Metallic, Nougat Brown, All-wheel Drive, 19–29, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Supercharged, 58305, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1240,"2018 Toyota Camry XSE, 29795, White, –, Front-wheel Drive, 28–39, Gasoline, 8-Speed Automatic, 2.5L I4 16V PDI DOHC, 33908, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1241,"2011 Nissan Maxima 3.5 SV w/Premium Pkg, 13995, Super Black, Charcoal, Front-wheel Drive, 19–26, Gasoline, Automatic, 3.5L DOHC 24-valve SMPI V6 engine, 61918, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1242,"2018 Audi A3 2.0T Premium, 27998, Cosmus Blue Metallic, Chestnut Brown, All-wheel Drive, 24–31, Gasoline, 6-Speed Automatic with Auto-Shift, 2.0L I4 16V GDI DOHC Turbo, 18769, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1243,"2014 Land Rover Range Rover Sport Supercharged, 36690, Santorini Black, Ebony / Lunar / Cirrus, Four-wheel Drive, 14–19, Gasoline, 8-Speed Automatic, 5.0L V8 32V GDI DOHC Supercharged, 79662, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1244,"2017 Lexus IS 300 Base, 19444, Black, –, All-wheel Drive, 19–26, Gasoline, 6-Speed Automatic, 3.5L V6 24V GDI DOHC, 72006, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1245,"2015 Jeep Wrangler Sahara, 28000, Billet Silver Metallic Clearcoat, Black, Four-wheel Drive, 17–21, Gasoline, 6-Speed Manual, 3.6L V6 24V MPFI DOHC, 49704, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1246,"2018 Nissan Rogue SL, 28990, Gun Metallic, Charcoal, All-wheel Drive, 25–32, Gasoline, Automatic CVT, 2.5L I4 16V MPFI DOHC, 24789, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1247,"2020 Nissan Pathfinder SV, 29995, Caspian Blue Metallic, Charcoal, Four-wheel Drive, 20–27, Gasoline, CVT with Xtronic, V6 Cylinder Engine, 61195, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1248,"2015 GMC Yukon XL 1500 Denali, 33995, White, –, RWD, 15–22, Gasoline, Automatic, 6.2L V8 16V GDI OHV, 121990, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1249,"2020 Ford Mustang EcoBoost Premium, 30000, Black, Black, Rear-wheel Drive, 20–28, Gasoline, 10-Speed Automatic, 2.3L I4 16V GDI DOHC Turbo, 37438, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1250,"2012 Mazda MX-5 Miata Grand Touring, 11500, Copper Red Mica, Dune Beige, RWD, 21–28, Gasoline, 6-Speed Manual, 2.0L I4 16V MPFI DOHC, 98464, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1251,"2014 Jeep Grand Cherokee Limited, 22498, Brilliant Black Crystal Pearlcoat, Black, Four-wheel Drive, 17–24, E85 Flex Fuel, 8-Speed Automatic, 3.6L V6 24V MPFI DOHC Flexible Fuel, 64037, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1252,"2018 Honda Accord EX-L 2.0T, 30656, White, Gray, Front-wheel Drive, 23–34, Gasoline, 10-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 44589, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1253,"2019 Honda CR-V LX, 30931, Lunar Silver Metallic, Gray, All-wheel Drive, 0–31, Gasoline, Variable, Regular Unleaded I-4 2.4 L/144, 12345, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1254,"2013 BMW 328 i xDrive, 16495, Black Sapphire Metallic, Venetian Beige, All-wheel Drive, 22–33, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 59062, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1255,"2021 RAM 1500 Limited, 63000, Billet Silver Metallic Clearcoat, Black, Four-wheel Drive, 15–21, Gasoline, 8-Speed Automatic, 5.7L V8 16V MPFI OHV, 15765, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1256,"2020 BMW X5 M Base, 97521, Black Sapphire Metallic, Sakhir Orange, All-wheel Drive, 13–18, Gasoline, 8-Speed Automatic, 4.4L V8 32V GDI DOHC Twin Turbo, 13697, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1257,"2018 Jaguar XJ XJL Portfolio, 53898, Santorini Black, Cashew / Truffle, All-wheel Drive, 17–25, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Supercharged, 35853, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
