,name,price,exterior_color,interior_color,drive_train,mpg,fuel_type,transmission,engine,mileage,heated_seats,heated_steering_wheel,nav_sys,remote_start,carplay,bluetooth,brake_assist,blind_spot_monitor,year,drive_train_simple,fuel_type_simple,turbo,emission,cylinder,average_mpg,transmission_simple,price_level
2609,2017 Chevrolet Cruze Premier,12999,Gray,Black,FWD,30–40,Gasoline,6-Speed Automatic,1.4L I4 16V GDI DOHC Turbo,46738,False,True,False,True,True,True,True,False,2017,FWD,Gasoline,True,1.4,I4,35.0,6,cheap
2610,2012 Porsche Panamera 4,37948,Black,Black,All-wheel Drive,18–26,Gasoline,7-Speed Automatic with Auto-Shift,3.6L V6 24V GDI DOHC,74844,True,True,True,False,False,True,True,False,2012,AWD,Gasoline,False,3.6,V6,22.0,7,moderate
2611,2019 BMW X5 xDrive40i,59379,Alpine White,Beige,All-wheel Drive,20–26,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,18130,True,False,True,False,False,True,True,False,2019,AWD,Gasoline,True,3.0,I6,23.0,8,moderate
2612,2020 GMC Sierra 1500 AT4,61490,Onyx Black,Jet Black,Four-wheel Drive,16–21,Diesel,10-Speed Automatic,3.0L I6 24V DDI DOHC Turbo Diesel,20462,False,True,False,True,True,True,True,False,2020,AWD,Diesel,True,3.0,I6,18.5,10,expensive
2613,2018 Ford Explorer Limited,28112,Ruby Red,Ebony Black,Front-wheel Drive,19–27,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,84267,True,True,True,True,False,True,True,False,2018,FWD,Gasoline,False,3.5,V6,23.0,6,moderate
2614,2019 Honda CR-V EX-L,31798,Modern Steel Metallic,Black,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,11966,True,False,False,True,True,True,True,False,2019,AWD,Gasoline,True,1.5,I4,30.0,-1,moderate
2615,2006 Toyota Land Cruiser V8,18900,White,Tan,Four-wheel Drive,13–17,Gasoline,5-Speed Automatic,4.7L V8 32V MPFI DOHC,198039,False,False,False,False,False,False,True,False,2006,AWD,Gasoline,False,4.7,V8,15.0,5,cheap
2616,2020 Hyundai Palisade Limited,50000,Moonlight Cloud,Beige,All-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,26459,True,True,True,True,True,True,True,True,2020,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
2617,2018 Subaru Forester 2.5i Premium,26000,Crystal White Pearl,Gray,All-wheel Drive,22–28,Gasoline,6-Speed Manual,2.5L H4 16V MPFI DOHC,41031,False,False,False,False,False,True,True,False,2018,AWD,Gasoline,False,2.5,H4,25.0,6,moderate
2618,2018 Dodge Durango GT,37543,Billet Clearcoat,Black,All-wheel Drive,18–25,Gasoline,8-Speed Automatic,V6 Cylinder Engine,32686,True,True,False,True,True,True,True,False,2018,AWD,Gasoline,False,-1.0,V6,21.5,8,moderate
2619,2018 Mercedes-Benz S-Class S 560 4MATIC,81290,–,–,All-wheel Drive,17–27,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,21610,True,False,True,False,True,True,True,False,2018,AWD,Gasoline,True,4.0,V8,22.0,9,expensive
2620,2020 Hyundai Palisade Limited,48500,Steel / Graphite,Black,All-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,41496,False,True,True,True,False,True,True,False,2020,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
2621,2013 Subaru Outback 2.5i Limited,16997,Venetian Red Pearl,Black,All-wheel Drive,24–30,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,68000,True,False,True,False,False,True,True,False,2013,AWD,Gasoline,False,2.5,H4,27.0,-1,cheap
2622,2016 GMC Yukon SLT,39176,Summit White,Cocoa / Dune,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,93730,False,True,True,True,True,True,True,True,2016,AWD,Gasoline,False,5.3,V8,19.0,6,moderate
2623,2018 Audi A4 2.0T ultra Premium,28899,Mythos Black Metallic,Black,Front-wheel Drive,27–37,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,33246,False,False,False,False,False,True,True,False,2018,FWD,Gasoline,True,2.0,I4,32.0,7,moderate
2624,2020 Toyota Camry SE,32730,Super White,Black,All-wheel Drive,25–34,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,17296,False,True,False,False,True,True,True,False,2020,AWD,Gasoline,False,2.5,I4,29.5,8,moderate
2625,2021 Mercedes-Benz GLB 250 Base 4MATIC,45595,Gray,Black,All-wheel Drive,23–30,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,5583,False,False,False,True,True,True,True,False,2021,AWD,Gasoline,True,2.0,I4,26.5,8,moderate
2626,2020 Cadillac XT5 Sport,57991,Garnet Red Metallic,Cirrus,All-wheel Drive,18–25,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,994,False,True,False,True,True,True,True,False,2020,AWD,Gasoline,False,3.6,V6,21.5,9,moderate
2627,2017 BMW X5 xDrive35i,40999,Carbon Black Metallic,White,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,42882,True,False,True,False,True,True,True,False,2017,AWD,Gasoline,True,3.0,I6,21.0,8,moderate
2628,2020 Honda Passport EX-L,37590,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,15889,True,False,False,True,True,True,True,False,2020,AWD,Gasoline,False,3.5,V6,21.5,9,moderate
2629,2019 Mazda CX-5 Grand Touring,30986,Jet Black Mica,Black,Front-wheel Drive,25–31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,13094,True,True,True,False,True,True,True,False,2019,FWD,Gasoline,False,2.5,I4,28.0,6,moderate
2630,2020 Kia Telluride SX,54997,Gray,Gray,All-wheel Drive,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,74274,False,True,True,True,False,True,True,True,2020,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
2631,2018 Porsche Panamera 4S,97900,Jet Black,–,All-wheel Drive,21–28,Gasoline,8-Speed Automatic with Auto-Shift,2.9L V6 24V GDI DOHC Twin Turbo,10404,False,False,True,False,False,True,True,False,2018,AWD,Gasoline,True,2.9,V6,24.5,8,expensive
2632,2017 Ford Explorer Platinum,29999,Canyon Ridge Metallic,Medium Soft Ceramic,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,97268,True,True,True,True,True,True,True,True,2017,AWD,Gasoline,True,3.5,V6,19.0,6,moderate
2633,2018 Mercedes-Benz E-Class E 300 4MATIC,47248,designo Cardinal Red Metallic,Macchiato Beige,All-wheel Drive,21–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,17343,False,False,True,False,True,True,True,False,2018,AWD,Gasoline,True,2.0,I4,25.0,9,moderate
2634,2014 Nissan Rogue SV,15588,Gun Metallic,Charcoal,All-wheel Drive,25–32,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,43798,False,False,True,False,False,True,True,False,2014,AWD,Gasoline,False,2.5,I4,28.5,-1,cheap
2635,2014 BMW 550 i xDrive,24997,Gray,Cinnamon Brown,All-wheel Drive,16–24,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,76298,False,False,True,False,False,True,True,False,2014,AWD,Gasoline,True,4.4,V8,20.0,8,moderate
2636,2017 Honda CR-V Touring,26998,Lunar Silver Metallic,Black,All-wheel Drive,0–33,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,67162,True,False,True,True,False,True,True,True,2017,AWD,Gasoline,True,1.5,I4,16.5,-1,moderate
2637,2019 Dodge Durango R/T,43500,White Knuckle Clearcoat,Black,Rear-wheel Drive,14–22,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,19607,False,True,True,True,False,True,True,False,2019,RWD,Gasoline,False,5.7,V8,18.0,8,moderate
2638,2019 Nissan Rogue SL,30984,Scarlet Ember Tintcoat,Charcoal,All-wheel Drive,25–32,Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,16647,True,True,True,True,True,True,True,True,2019,AWD,Gasoline,False,2.5,I4,28.5,-1,moderate
2639,2015 Jeep Grand Cherokee Limited,24998,Bright White Clearcoat,Lt Frost Beige/Black,Four-wheel Drive,0–24,Gasoline,Automatic,Regular Unleaded V-6 3.6 L/220,70292,True,True,False,True,False,True,True,False,2015,AWD,Gasoline,False,3.6,V6,12.0,-1,moderate
2640,2019 Honda Civic Sport,26250,Lunar Silver Metallic,Black,Front-wheel Drive,29–37,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,13517,False,False,False,True,True,True,True,False,2019,FWD,Gasoline,False,2.0,I4,33.0,-1,moderate
2641,2020 BMW X3 M40i,55710,Glacier Silver Metallic,Black,All-wheel Drive,21–27,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,36122,False,False,True,False,True,True,True,True,2020,AWD,Gasoline,True,3.0,I6,24.0,8,moderate
2642,2018 Mercedes-Benz E-Class E 300 4MATIC,26450,Black,Brown,All-wheel Drive,21–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,49416,False,False,True,False,False,True,True,False,2018,AWD,Gasoline,True,2.0,I4,25.0,9,moderate
2643,2019 Mercedes-Benz AMG E 63 S 4MATIC,97597,Black,Macchiato Beige,All-wheel Drive,15–23,Gasoline,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,6149,False,False,True,False,True,True,True,False,2019,AWD,Gasoline,True,4.0,V8,19.0,9,expensive
2644,2018 Volvo XC60 T6 Inscription,40500,Onyx Black Metallic,Charcoal,All-wheel Drive,21–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,19767,True,True,True,True,True,True,True,False,2018,AWD,Gasoline,False,2.0,I4,24.0,8,moderate
2645,2007 Lexus IS 250 ,9995,Blue,Gray,AWD,22–28,Gasoline,6-Speed Automatic,2.5L V6 24V GDI DOHC,83400,True,False,False,False,False,False,True,False,2007,AWD,Gasoline,False,2.5,V6,25.0,6,cheap
2646,2020 Mazda CX-5 Touring,29096,Jet Black Mica,Silk Beige,Front-wheel Drive,25–31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,15581,False,False,False,False,True,True,True,False,2020,FWD,Gasoline,False,2.5,I4,28.0,6,moderate
2647,2021 Volvo XC60 T6 Momentum,47500,Crystal White Metallic,Charcoal,All-wheel Drive,20–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,18879,True,True,True,True,True,True,True,False,2021,AWD,Gasoline,False,2.0,I4,23.5,8,moderate
2648,2019 Toyota Corolla LE,21923,Galactic Aqua,Ash,Front-wheel Drive,Transmission,Gasoline,Automatic CVT,1.8L I4 16V MPFI DOHC,15068,False,False,False,False,False,True,True,False,2019,FWD,Gasoline,False,1.8,I4,-1.0,-1,moderate
2649,2013 Tesla Model S Performance,36999,Blue Metallic,Tan,Rear-wheel Drive,Transmission,Electric,1-Speed Automatic,Electric,75549,True,False,False,True,False,True,False,False,2013,RWD,Electric,False,0.0,E,0.0,0,moderate
2650,2012 Chevrolet Tahoe LT,15970,Silver,Gray,Rear-wheel Drive,15–21,E85 Flex Fuel,6-Speed Automatic,5.3L V8 16V MPFI OHV Flexible Fuel,208673,False,False,False,True,False,True,False,False,2012,RWD,Flexible Fuel,False,5.3,V8,18.0,6,cheap
2651,2020 Ford F-150 XLT,47410,Agate Black Metallic,Black,Four-wheel Drive,18–23,Gasoline,Automatic,5.0L V8 32V PDI DOHC,14898,False,False,False,True,True,True,True,False,2020,AWD,Gasoline,False,5.0,V8,20.5,-1,moderate
2652,2021 Volvo XC90 T6 Momentum 7 Passenger,58988,White,Maroon Brown,All-wheel Drive,19–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,11773,True,True,True,True,True,True,True,False,2021,AWD,Gasoline,False,2.0,I4,23.5,8,moderate
2653,2021 BMW X3 xDrive30i,50622,Alpine White,Black,All-wheel Drive,23–29,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,15755,True,True,True,False,True,True,True,True,2021,AWD,Gasoline,True,2.0,I4,26.0,8,moderate
2654,2017 BMW X3 xDrive28i,27249,Space Gray Metallic,Black,All-wheel Drive,21–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,65679,True,True,True,False,True,True,True,True,2017,AWD,Gasoline,True,2.0,I4,24.5,8,moderate
2655,2019 GMC Sierra 1500 AT4,59950,Onyx Black,Jet Black,Four-wheel Drive,15–20,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,20694,False,True,True,True,True,True,True,False,2019,AWD,Gasoline,False,6.2,V8,17.5,10,moderate
2656,2020 Hyundai Palisade Limited,52990,Black,Tan,Front-wheel Drive,19–26,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,18318,False,True,True,True,False,True,True,True,2020,FWD,Gasoline,False,3.8,V6,22.5,8,moderate
2657,2018 BMW X5 xDrive35i,44998,Jet Black,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,40157,True,True,True,False,False,True,True,False,2018,AWD,Gasoline,True,3.0,I6,21.0,8,moderate
2658,2019 Honda CR-V EX-L,33999,Gunmetal Metallic,Gray,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,15903,True,False,False,True,True,True,True,True,2019,AWD,Gasoline,True,1.5,I4,30.0,-1,moderate
2659,2018 Ford Edge Titanium,25889,BLACK,–,Front-wheel Drive,0–29,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,87503,True,False,False,False,False,True,True,False,2018,FWD,Gasoline,True,2.0,I4,14.5,-1,moderate
2660,2020 Mercedes-Benz GLE 350 Base 4MATIC,63997,Silver,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,42874,False,False,True,True,True,True,True,True,2020,AWD,Gasoline,True,2.0,I4,22.5,9,expensive
2661,2014 Jeep Grand Cherokee Limited,15250,Billet Silver Metallic Clearcoat,Black,Rear-wheel Drive,17–25,E85 Flex Fuel,8-Speed Automatic,3.6L V6 24V MPFI DOHC Flexible Fuel,134662,True,True,False,True,False,True,True,False,2014,RWD,Flexible Fuel,False,3.6,V6,21.0,8,cheap
2662,2020 Nissan Pathfinder SV,30998,Magnetic Black,Rock Creek,FWD,20–27,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,15500,False,False,False,True,False,True,True,True,2020,FWD,Gasoline,False,3.5,V6,23.5,-1,moderate
2663,2018 Audi A4 2.0T ultra Premium,31980,Ibis White,Atlas Beige / Gray,Front-wheel Drive,27–37,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,17517,True,False,True,False,False,True,True,False,2018,FWD,Gasoline,True,2.0,I4,32.0,7,moderate
2664,2019 Toyota Camry SE,25988,Super White,Black,FWD,28–39,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,44956,False,False,False,False,False,True,True,False,2019,FWD,Gasoline,False,2.5,I4,33.5,8,moderate
2665,2021 Toyota 4Runner TRD Off Road,44984,Midnight Black Metallic,Black / Graphite,Four-wheel Drive,16–19,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,16453,False,False,False,False,True,True,True,False,2021,AWD,Gasoline,False,4.0,V6,17.5,5,moderate
2666,2018 Toyota RAV4 XLE,22595,Silver Sky Metallic,Black,Front-wheel Drive,23–30,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,33878,False,False,False,False,False,True,True,False,2018,FWD,Gasoline,False,2.5,I4,26.5,6,moderate
2667,2019 BMW 530e iPerformance,39880,Imperial Blue Metallic,Ivory White,RWD,Transmission,Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,39110,False,False,True,False,True,True,True,False,2019,RWD,Hybrid,True,2.0,I4,-1.0,8,moderate
2668,2019 Toyota RAV4 XLE,31274,Super White,Nutmeg,Front-wheel Drive,26–35,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,25689,False,False,True,False,False,True,True,True,2019,FWD,Gasoline,False,2.5,I4,30.5,8,moderate
2669,2020 Acura TLX Technology,31723,Majestic Black Pearl,Ebony,Front-wheel Drive,23–33,Gasoline,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,31175,True,False,True,False,True,True,True,True,2020,FWD,Gasoline,False,2.4,I4,28.0,8,moderate
2670,2020 Mercedes-Benz AMG C 43 Base 4MATIC,65990,Obsidian Black Metallic,Black,All-wheel Drive,18–25,Gasoline,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,15617,False,False,True,True,True,True,True,True,2020,AWD,Gasoline,True,3.0,V6,21.5,9,expensive
2671,2018 Cadillac Escalade Luxury,65995,Dark Granite Metallic,Jet Black,Four-wheel Drive,14–21,Gasoline,Automatic,8 Cylinder Engine,15714,True,True,True,True,True,True,True,True,2018,AWD,Gasoline,False,-1.0,,17.5,-1,expensive
2672,2011 Porsche Boxster Base,38500,–,–,Rear-wheel Drive,19–27,Gasoline,6-Speed Manual,2.9L H6 24V MPFI DOHC,72000,False,False,False,False,False,True,True,False,2011,RWD,Gasoline,False,2.9,H6,23.0,6,moderate
2673,2021 Honda Passport EX-L,38332,Modern Steel Metallic,Black,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,14801,True,False,False,True,True,True,True,False,2021,FWD,Gasoline,False,3.5,V6,22.5,9,moderate
2674,2018 Mercedes-Benz C-Class C 300,43908,Black,Black,Rear-wheel Drive,22–29,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,31942,True,False,False,True,False,True,True,True,2018,RWD,Gasoline,True,2.0,I4,25.5,9,moderate
2675,2021 Toyota Tacoma SR5,40990,Super White,Cement,Rear-wheel Drive,19–24,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,3014,False,False,False,False,True,True,True,False,2021,RWD,Gasoline,False,3.5,V6,21.5,6,moderate
2676,2019 Kia Sorento LX V6,22998,Snow White Pearl,Satin Black,FWD,19–26,Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC,45752,False,False,False,False,False,True,True,True,2019,FWD,Gasoline,False,3.3,V6,22.5,8,moderate
2677,2016 Toyota Avalon Touring,27778,Creme Brulee Mica,Almond,Front-wheel Drive,21–30,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,18966,True,False,True,False,False,True,True,True,2016,FWD,Gasoline,False,3.5,V6,25.5,6,moderate
2678,2018 Honda Accord Sport,26750,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,40702,False,False,False,False,True,True,True,False,2018,FWD,Gasoline,True,1.5,I4,32.0,-1,moderate
2679,2018 Mazda Mazda3 Sport,14995,Machine Gray Metallic,Black,FWD,28–37,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,45109,False,False,False,False,False,True,True,False,2018,FWD,Gasoline,False,2.0,I4,32.5,6,cheap
2680,2020 Chevrolet Suburban LT,54999,Summit White,Jet Black,Four-wheel Drive,14–21,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,17262,False,False,True,True,True,True,True,False,2020,AWD,Gasoline,False,5.3,V8,17.5,6,moderate
2681,2017 Jeep Wrangler Sport,37041,Black Clearcoat,Black,Four-wheel Drive,17–21,Gasoline,6-Speed Manual,3.6L V6 24V MPFI DOHC,44378,False,False,False,False,False,True,True,False,2017,AWD,Gasoline,False,3.6,V6,19.0,6,moderate
2682,2019 Dodge Grand Caravan GT,25600,Black Onyx,Black,Front-wheel Drive,17–25,–,Automatic,3.6L V6 24V MPFI DOHC,70999,False,True,True,True,False,True,True,False,2019,FWD,,False,3.6,V6,21.0,-1,moderate
2683,2019 Dodge Grand Caravan GT,23991,Granite Pearlcoat,Black,Front-wheel Drive,17–25,–,Automatic,3.6L V6 24V MPFI DOHC,49000,True,True,True,True,False,True,True,False,2019,FWD,,False,3.6,V6,21.0,-1,moderate
2684,2018 BMW X5 xDrive35i,45997,Black Sapphire Metallic,Black,All-wheel Drive,18–24,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,40383,True,False,True,False,False,True,True,False,2018,AWD,Gasoline,True,3.0,I6,21.0,8,moderate
2685,2018 Mercedes-Benz E-Class E 300,43945,Gray,–,Rear-wheel Drive,22–30,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,19790,False,False,True,False,True,True,True,False,2018,RWD,Gasoline,True,2.0,I4,26.0,9,moderate
2686,2018 BMW X5 sDrive35i,42488,Dark Graphite Metallic,Black,Rear-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,52616,False,False,True,False,False,True,True,True,2018,RWD,Gasoline,True,3.0,I6,21.5,8,moderate
2687,2019 BMW 330 i,38272,Jet Black,Beige,Rear-wheel Drive,26–36,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,41000,False,False,False,True,True,True,True,True,2019,RWD,Gasoline,True,2.0,I4,31.0,8,moderate
2688,2020 Toyota Sequoia Platinum,67900,Midnight Black Metallic,Redrock / Black,Four-wheel Drive,13–17,Gasoline,6-Speed Automatic,5.7L V8 32V MPFI DOHC,16276,True,False,True,True,True,True,True,False,2020,AWD,Gasoline,False,5.7,V8,15.0,6,expensive
2689,2020 Mazda CX-5 Grand Touring,29899,Machine Gray Metallic,Black,Front-wheel Drive,25–31,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,18720,True,False,False,False,True,True,True,True,2020,FWD,Gasoline,False,2.5,I4,28.0,6,moderate
2690,2019 Mercedes-Benz GLA 250 Base 4MATIC,30500,White,Black,All-wheel Drive,23–31,E85 Flex Fuel,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,61739,False,False,False,True,False,True,True,False,2019,AWD,Flexible Fuel,True,2.0,I4,27.0,7,moderate
2691,2018 Jaguar F-PACE 25t Premium,37890,Narvik Black,Latte / Ebony,All-wheel Drive,22–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,54370,False,False,False,True,False,True,True,False,2018,AWD,Gasoline,True,2.0,I4,24.5,8,moderate
2692,2015 Chevrolet Tahoe LT,28990,Silver Ice Metallic,Black,Four-wheel Drive,16–22,Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,144225,False,False,True,True,False,True,True,False,2015,AWD,Gasoline,False,5.3,V8,19.0,6,moderate
2693,2019 Ford Taurus Limited,24995,Gray,Black,Front-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,56252,True,True,False,True,False,True,True,True,2019,FWD,Gasoline,False,3.5,V6,22.0,6,moderate
2694,2017 Ford Edge Titanium,19696,Ingot Silver Metallic,Ebony,Front-wheel Drive,20–29,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,87460,True,False,False,False,True,True,True,False,2017,FWD,Gasoline,True,2.0,I4,24.5,6,cheap
2695,2021 Hyundai Palisade Limited,52967,Rainforest,Black,AWD,19–24,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,4987,True,True,True,True,True,True,True,False,2021,AWD,Gasoline,False,3.8,V6,21.5,8,moderate
2696,2020 Hyundai Santa Fe SE 2.4,27000,Twilight Black,Espresso,Front-wheel Drive,22–29,Gasoline,8-Speed Automatic,2.4L I4 16V GDI DOHC,34014,False,False,False,False,True,True,True,False,2020,FWD,Gasoline,False,2.4,I4,25.5,8,moderate
2697,2018 Alfa Romeo Stelvio Ti,30778,Vulcano Black Metallic,Black,All-wheel Drive,22–28,Gasoline,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,60705,True,True,False,True,False,True,True,True,2018,AWD,Gasoline,True,2.0,I4,25.0,8,moderate
2698,2019 Honda CR-V EX-L,32820,Modern Steel Metallic,Gray,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,14226,True,False,False,True,True,True,True,False,2019,AWD,Gasoline,True,1.5,I4,30.0,-1,moderate
2699,2018 Hyundai Tucson SEL,20980,Coliseum Gray,Gray,All-wheel Drive,21–26,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC,55505,True,False,False,False,True,True,True,False,2018,AWD,Gasoline,False,2.0,I4,23.5,6,moderate
2700,2015 Cadillac XTS Luxury,20500,Silver Coast Metallic,Kona Brown,All-wheel Drive,17–26,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,68304,False,True,True,True,False,True,True,False,2015,AWD,Gasoline,False,3.6,V6,21.5,6,moderate
2701,2019 Honda CR-V EX-L,32692,Silver,Black,All-wheel Drive,27–33,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,11046,True,False,False,True,True,True,True,False,2019,AWD,Gasoline,True,1.5,I4,30.0,-1,moderate
2702,2018 Ford Explorer Limited,39995,Shadow Black,Ebony Black,Four-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,26824,True,True,True,True,True,True,True,True,2018,AWD,Gasoline,False,3.5,V6,21.5,6,moderate
2703,2018 Ford Escape Titanium,28480,Magnetic Metallic,Charcoal Black,Four-wheel Drive,20–27,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,21494,True,True,True,True,False,True,True,True,2018,AWD,Gasoline,True,2.0,I4,23.5,6,moderate
2704,2017 Jeep Wrangler Unlimited Sport,35462,Black Clearcoat,Black,Four-wheel Drive,16–21,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,15377,False,False,False,False,False,True,True,False,2017,AWD,Gasoline,False,3.6,V6,18.5,5,moderate
2705,2019 GMC Acadia SLT-1,33995,Black,–,AWD,17–25,Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,25282,True,False,False,True,False,True,True,True,2019,AWD,Gasoline,False,3.6,V6,21.0,6,moderate
2706,2019 Ford Fusion SEL,22789,Agate Black,Ebony,Front-wheel Drive,23–34,Gasoline,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,51925,True,False,False,True,False,True,True,True,2019,FWD,Gasoline,True,1.5,I4,28.5,6,moderate
2707,2006 Chevrolet TrailBlazer EXT LT,7995,Gray,Black,Four-wheel Drive,Transmission,Gasoline,4-Speed Automatic,4.2L I6 24V MPFI DOHC,81140,False,False,False,False,False,False,False,False,2006,AWD,Gasoline,False,4.2,I6,-1.0,4,cheap
2708,2020 Volvo XC60 T6 Inscription,50400,Onyx Black Metallic,Maroon Brown,All-wheel Drive,20–27,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,14655,True,True,True,True,True,True,True,False,2020,AWD,Gasoline,False,2.0,I4,23.5,8,moderate
2709,2019 BMW 540 i xDrive,46995,Mediterranean Blue Metallic,Ivory White,All-wheel Drive,21–29,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,27001,True,True,True,False,True,True,True,True,2019,AWD,Gasoline,True,3.0,I6,25.0,8,moderate
2710,2018 Jeep Grand Cherokee Limited,39388,Silver,Tan,Four-wheel Drive,18–25,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,31490,False,True,False,True,False,True,True,False,2018,AWD,Gasoline,False,3.6,V6,21.5,8,moderate
